"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3297","Validate product sorting by Price (Low to High)","webkit","Fri May 22 11:22:25 UTC 2026","passed","Fri May 22 11:22:28 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
"","1949","Remove product from cart and verify badge","chromium","Fri May 22 11:22:08 UTC 2026","passed","Fri May 22 11:22:10 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
"","9848","Add product to cart and verify badge","webkit","Fri May 22 11:22:15 UTC 2026","passed","Fri May 22 11:22:25 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
"","2582","authenticate","setup","Fri May 22 11:22:12 UTC 2026","passed","Fri May 22 11:22:14 UTC 2026","","setup/auth.setup.ts","",""
"","2890","Invalid username/password","webkit","Fri May 22 11:22:32 UTC 2026","passed","Fri May 22 11:22:35 UTC 2026","Login Module @regression @ui","ui/login.spec.ts","",""
"","4551","Negative: Simulate network failure for product catalog","firefox","Fri May 22 11:22:07 UTC 2026","passed","Fri May 22 11:22:11 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
"","232","Positive: Delete booking @smoke","api","Fri May 22 11:22:00 UTC 2026","passed","Fri May 22 11:22:00 UTC 2026","Booking Management @regression @api > Existing Booking Operations","api/booking.spec.ts","",""
"","295","Create → Update → Verify → Delete booking","api","Fri May 22 11:22:00 UTC 2026","passed","Fri May 22 11:22:00 UTC 2026","API E2E Flow: Complete Booking Lifecycle @e2e","api/e2e-booking-flow.spec.ts","",""
"","9892","Remove item from cart page","webkit","Fri May 22 11:22:15 UTC 2026","passed","Fri May 22 11:22:25 UTC 2026","Shopping Cart Module @regression @ui","ui/cart.spec.ts","",""
"","4036","Complete E2E Purchase Flow: Login → Add to Cart → Checkout @smoke @e2e","firefox","Fri May 22 11:22:09 UTC 2026","passed","Fri May 22 11:22:13 UTC 2026","End-to-End Flow @e2e @ui","ui/e2e-flow.spec.ts","",""
"","1205","Empty username validation","chromium","Fri May 22 11:22:14 UTC 2026","passed","Fri May 22 11:22:15 UTC 2026","Login Module @regression @ui","ui/login.spec.ts","",""
"","2291","Empty username validation","webkit","Fri May 22 11:22:34 UTC 2026","passed","Fri May 22 11:22:36 UTC 2026","Login Module @regression @ui","ui/login.spec.ts","",""
"","59","Negative: Retrieve booking by invalid ID","api","Fri May 22 11:22:00 UTC 2026","passed","Fri May 22 11:22:00 UTC 2026","Booking Management @regression @api","api/booking.spec.ts","",""
"","90","Positive: Create a new booking @smoke","api","Fri May 22 11:22:00 UTC 2026","passed","Fri May 22 11:22:00 UTC 2026","Booking Management @regression @api","api/booking.spec.ts","",""
"","8332","Verify item in cart","firefox","Fri May 22 11:21:59 UTC 2026","passed","Fri May 22 11:22:07 UTC 2026","Shopping Cart Module @regression @ui","ui/cart.spec.ts","",""
"","2088","Empty username validation","firefox","Fri May 22 11:22:13 UTC 2026","passed","Fri May 22 11:22:15 UTC 2026","Login Module @regression @ui","ui/login.spec.ts","",""
"","2937","Validate product sorting by Price (Low to High)","firefox","Fri May 22 11:22:04 UTC 2026","passed","Fri May 22 11:22:07 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
"","295","Negative: Missing fields in payload","api","Fri May 22 11:21:58 UTC 2026","passed","Fri May 22 11:21:58 UTC 2026","API Authentication @regression @api","api/auth.spec.ts","",""
"","2070","Locked out user validation","firefox","Fri May 22 11:22:12 UTC 2026","passed","Fri May 22 11:22:14 UTC 2026","Login Module @regression @ui","ui/login.spec.ts","",""
"","1494","Invalid username/password","chromium","Fri May 22 11:22:13 UTC 2026","passed","Fri May 22 11:22:15 UTC 2026","Login Module @regression @ui","ui/login.spec.ts","",""
"","5225","Remove product from cart and verify badge","firefox","Fri May 22 11:21:59 UTC 2026","passed","Fri May 22 11:22:04 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
"","9620","Remove product from cart and verify badge","webkit","Fri May 22 11:22:15 UTC 2026","passed","Fri May 22 11:22:25 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
"","136","Data-Driven Create: Booking with zero price and empty additional needs","api","Fri May 22 11:22:00 UTC 2026","passed","Fri May 22 11:22:00 UTC 2026","Booking Parameterized / Data-Driven Tests @regression @api","api/booking-parameterized.spec.ts","",""
"","319","Negative: Empty payload","api","Fri May 22 11:21:58 UTC 2026","passed","Fri May 22 11:21:58 UTC 2026","API Authentication @regression @api","api/auth.spec.ts","",""
"","1736","Missing required fields validation","chromium","Fri May 22 11:22:11 UTC 2026","passed","Fri May 22 11:22:13 UTC 2026","Checkout Module @regression @ui","ui/checkout.spec.ts","",""
"","152","Data-Driven Create: Booking with special character names","api","Fri May 22 11:22:00 UTC 2026","passed","Fri May 22 11:22:00 UTC 2026","Booking Parameterized / Data-Driven Tests @regression @api","api/booking-parameterized.spec.ts","",""
"","3635","Missing required fields validation","webkit","Fri May 22 11:22:28 UTC 2026","passed","Fri May 22 11:22:32 UTC 2026","Checkout Module @regression @ui","ui/checkout.spec.ts","",""
"","2073","Remove item from cart page","chromium","Fri May 22 11:22:08 UTC 2026","passed","Fri May 22 11:22:10 UTC 2026","Shopping Cart Module @regression @ui","ui/cart.spec.ts","",""
"","2366","Complete E2E Purchase Flow: Login → Add to Cart → Checkout @smoke @e2e","chromium","Fri May 22 11:22:12 UTC 2026","passed","Fri May 22 11:22:14 UTC 2026","End-to-End Flow @e2e @ui","ui/e2e-flow.spec.ts","",""
"","3876","Successful information submission","firefox","Fri May 22 11:22:09 UTC 2026","passed","Fri May 22 11:22:12 UTC 2026","Checkout Module @regression @ui","ui/checkout.spec.ts","",""
"","2363","Locked out user validation","webkit","Fri May 22 11:22:33 UTC 2026","passed","Fri May 22 11:22:36 UTC 2026","Login Module @regression @ui","ui/login.spec.ts","",""
"","1554","Locked out user validation","chromium","Fri May 22 11:22:13 UTC 2026","passed","Fri May 22 11:22:15 UTC 2026","Login Module @regression @ui","ui/login.spec.ts","",""
"","1606","Negative: Handle non-existent product URL","chromium","Fri May 22 11:22:10 UTC 2026","passed","Fri May 22 11:22:11 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
"","4409","Negative: Prevent access to catalog for unauthenticated users","firefox","Fri May 22 11:22:04 UTC 2026","passed","Fri May 22 11:22:09 UTC 2026","Product Catalog Module @regression @ui","ui/catalog.spec.ts","",""
